User_id,Session_id,DateTime,Category,SubCategory,Action,Quantity,Rate,Total Price,Recency,Frequency,Monetary,R,F,M,Group,Score,Loyalty_Level
52243841613,d76fde-8bb3-4e00-8c23,2019-01-10 10:20:00,Electronic Appliances,Speakers,first_app_open,,,,,,,,,,,,
52243841613,33dfbd-b87a-4708-9857,2019-01-10 10:22:00,Electronic Appliances,Speakers,search,,,,,,,,,,,,
57314161118,6511c2-e2e3-422b-b695,2019-01-10 14:00:00,Men's Fashion,Jeans,search,,,,,,,,,,,,
57314161118,90fc70-0e80-4590-96f3,2019-01-10 14:07:00,Men's Fashion,Jeans,product_view,,,,,,,,,,,,
57314161118,bd7419-2748-4c56-95b4,2019-01-10 14:12:00,Men's Fashion,Jeans,read_reviews,,,,,,,,,,,,
59221776934,0d91c2-c9c2-4e81-90a5,2019-08-10 17:00:00,Mobile & Accessories,Mobile,add_review,,,,,,,,,,,,
51629142904,e811e9-91de-46da-90c3,2019-09-03 12:09:00,Cleaning supplies,Cleaning sprays,search,,,,110.0,2.0,5500.0,2.0,4.0,3.0,243,9.0,Platinum
51629142904,srtdf7-25c8-4147-901d,2019-09-03 12:12:00,Cleaning supplies,Cleaning sprays,product_view,,,,110.0,2.0,5500.0,2.0,4.0,3.0,243,9.0,Platinum
51629142904,vfgscx-91de-4da-90c4,2019-09-03 12:22:00,Cleaning supplies,Cleaning sprays,search,,,,110.0,2.0,5500.0,2.0,4.0,3.0,243,9.0,Platinum
51629142904,hgfhgf7-25c8-417-901d,2019-09-03 14:29:00,Cleaning supplies,Cleaning sprays,product_view,,,,110.0,2.0,5500.0,2.0,4.0,3.0,243,9.0,Platinum
51629142904,fhfvfb9-91de-46da-9055,2019-09-03 14:44:00,Cleaning supplies,Cleaning sprays,read_reviews,,,,110.0,2.0,5500.0,2.0,4.0,3.0,243,9.0,Platinum
51629142904,c1cd4e5-a3ce-4224-a2d1,2019-09-03 14:50:00,Cleaning supplies,Cleaning sprays,add_to_cart,,,,110.0,2.0,5500.0,2.0,4.0,3.0,243,9.0,Platinum
51629142904,6c46ed-90a4-4787-a43b,2019-09-03 18:04:00,Cleaning supplies,Cleaning sprays,checkout,,,,110.0,2.0,5500.0,2.0,4.0,3.0,243,9.0,Platinum
51629142904,b5bdd3-4ca2-4c55-939e,2019-09-03 18:10:00,Cleaning supplies,Cleaning sprays,purchase,5.0,300.0,1500.0,110.0,2.0,5500.0,2.0,4.0,3.0,243,9.0,Platinum
51629142904,e811e9-91de-46da-90c3,2019-01-10 15:00:00,Mobile & Accessories,Charging wire,search,,,,110.0,2.0,5500.0,2.0,4.0,3.0,243,9.0,Platinum
51629142904,yugfx7-25c8-4147-901d,2019-01-10 15:17:00,Mobile & Accessories,Charging wire,product_view,,,,110.0,2.0,5500.0,2.0,4.0,3.0,243,9.0,Platinum
51629142904,defgdf9-91de-46da-8425,2019-01-10 15:24:00,Mobile & Accessories,Charging wire,add_to_wishlist,,,,110.0,2.0,5500.0,2.0,4.0,3.0,243,9.0,Platinum
51629142904,rafgdf7-25c8-4147-7856,2019-01-10 17:31:00,Mobile & Accessories,Charging wire,search,,,,110.0,2.0,5500.0,2.0,4.0,3.0,243,9.0,Platinum
51629142904,e811e9-91de-44da-9863,2019-01-10 17:38:00,Mobile & Accessories,Charging wire,product_view,,,,110.0,2.0,5500.0,2.0,4.0,3.0,243,9.0,Platinum
51629142904,cxzfzgd-a3ce-4224-a2d1,2019-01-10 17:42:00,Mobile & Accessories,Charging wire,add_to_cart,,,,110.0,2.0,5500.0,2.0,4.0,3.0,243,9.0,Platinum
51629142904,gfdcvd90a4-4787-a43b,2019-01-10 21:05:00,Mobile & Accessories,Charging wire,checkout,,,,110.0,2.0,5500.0,2.0,4.0,3.0,243,9.0,Platinum
51629142904,fbdhyrt4ca2-4c55-939e,2019-01-10 21:08:00,Mobile & Accessories,Charging wire,purchase,2.0,2000.0,4000.0,110.0,2.0,5500.0,2.0,4.0,3.0,243,9.0,Platinum
52018010018,ghfty5940-41b2-baf3,2019-01-10 19:00:00,Digital Devices,Kindle eBook,search,,,,,,,,,,,,
52018010018,98bfa0-d8fa-4b9d-8a71,2019-01-10 19:05:00,Digital Devices,Kindle eBook,product_view,,,,,,,,,,,,
52018010018,72d76de-8bb3-4e00-8c23,2019-01-10 19:09:00,Digital Devices,Kindle eBook,read_reviews,,,,,,,,,,,,
